#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
329,Wayne Simien,MIA,43,9.6,3.4,1.3,2.8,0.483,0.0,0.0,0.0,0.7,0.8,0.882,0.9,1.2,2.0,0.2,0.3,0.0,0.6,1.6
330,Vin Baker,LAC,8,10.6,3.4,0.9,1.9,0.467,0.0,0.0,0.0,1.6,2.3,0.722,0.3,2.1,2.4,0.5,0.5,0.5,1.1,1.6
331,Pat Burke,PHX,42,8.2,3.4,1.5,3.0,0.496,0.0,0.2,0.286,0.3,0.5,0.619,0.5,1.2,1.7,0.4,0.1,0.3,0.8,1.5
332,Anthony Carter,MIN,45,13.1,3.3,1.2,3.0,0.387,0.1,0.3,0.267,0.9,1.2,0.727,0.2,1.2,1.4,2.2,0.5,0.2,0.9,1.6
333,Zarko Cabarkapa,GSW,60,8.4,3.3,1.1,2.9,0.385,0.1,0.3,0.25,1.0,1.4,0.714,0.6,1.2,1.9,0.3,0.2,0.1,0.6,1.5
334,Jason Hart,SAC,66,12.4,3.3,1.3,3.3,0.389,0.1,0.5,0.29,0.6,0.8,0.661,0.2,0.9,1.1,1.1,0.5,0.1,0.7,1.3
335,Mikki Moore,SEA,47,12.4,3.3,1.1,2.6,0.435,0.0,0.0,0.0,1.0,1.3,0.742,0.9,1.8,2.8,0.6,0.1,0.3,0.9,2.0
336,Richie Frahm,HOU,33,10.4,3.3,1.2,3.0,0.39,0.7,2.1,0.329,0.2,0.3,0.7,0.1,0.9,1.0,0.6,0.1,0.1,0.2,0.9
337,Dan Dickau,BOS,19,12.3,3.3,0.9,2.4,0.37,0.5,1.1,0.5,0.9,0.9,1.0,0.3,0.6,0.8,2.1,0.6,0.1,0.9,2.1
338,Eric Williams,TOR,28,12.6,3.3,1.0,2.7,0.387,0.2,0.6,0.278,1.0,1.4,0.737,0.4,1.4,1.8,0.5,0.3,0.1,0.5,2.0
339,Sean Marks,SAS,25,7.2,3.2,1.5,2.8,0.521,0.0,0.1,0.0,0.3,0.5,0.583,0.5,1.2,1.7,0.3,0.2,0.3,0.3,0.8
340,Orien Greene,BOS,80,15.4,3.2,1.3,3.2,0.395,0.1,0.5,0.225,0.6,0.9,0.662,0.5,1.4,1.8,1.6,1.0,0.1,1.4,2.3
341,Michael Doleac,MIA,31,12.0,3.2,1.2,2.8,0.42,0.0,0.0,0.0,0.8,1.0,0.8,0.7,2.0,2.7,0.3,0.3,0.2,0.5,1.5
342,Howard Eisley,DEN,32,12.3,3.2,1.1,3.2,0.33,0.4,1.3,0.31,0.6,0.8,0.833,0.1,0.9,1.0,2.2,0.3,0.1,0.7,1.1
343,Matt Barnes,PHI,56,11.2,3.1,1.3,2.5,0.5,0.1,0.3,0.2,0.6,0.8,0.681,0.9,1.3,2.2,0.5,0.4,0.1,0.5,1.8
344,Jerome James,NYK,44,9.2,3.1,1.3,2.8,0.463,0.0,0.0,0.0,0.6,0.9,0.625,0.9,1.2,2.1,0.3,0.1,0.5,1.2,2.4
345,Rawle Marshall,DAL,23,10.5,3.1,1.0,2.6,0.4,0.0,0.1,0.333,1.0,1.3,0.759,0.3,1.0,1.3,0.4,0.3,0.3,0.7,0.7
346,Kris Humphries,UTA,62,10.0,3.0,1.2,3.3,0.379,0.0,0.1,0.0,0.5,1.0,0.523,0.9,1.6,2.5,0.5,0.4,0.3,0.5,1.3
347,Jim Jackson,LAL,40,12.8,3.0,1.2,4.0,0.294,0.5,1.9,0.243,0.2,0.3,0.692,0.3,1.6,1.9,0.9,0.3,0.2,0.9,1.3
348,Andre Owens,UTA,23,9.1,3.0,1.2,3.2,0.365,0.1,0.7,0.188,0.5,0.8,0.667,0.5,0.4,0.9,0.3,0.2,0.0,0.6,1.1
349,Pavel Podkolzin,DAL,1,18.1,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0,0.5,0.0,7.0,7.0,0.0,0.0,1.0,2.0,0.0
350,Josh Powell,DAL,37,11.6,3.0,1.0,2.2,0.457,0.0,0.0,0.0,1.0,1.2,0.8,0.8,1.4,2.2,0.2,0.2,0.1,0.6,1.4
351,Sergei Monia,SAC,26,13.2,3.0,1.1,3.3,0.333,0.3,1.3,0.265,0.4,0.5,0.714,0.4,1.6,2.0,0.7,0.3,0.2,0.5,1.6
352,Brian Skinner,POR,65,14.5,2.9,1.3,2.5,0.513,0.0,0.0,0.0,0.4,0.9,0.482,1.2,2.3,3.5,0.5,0.4,0.7,0.7,1.8
353,Brian Grant,PHX,21,11.8,2.9,1.3,3.1,0.415,0.0,0.0,0.0,0.3,0.4,0.875,0.5,2.2,2.7,0.3,0.2,0.1,0.3,2.1
354,Lindsey Hunter,DET,30,11.8,2.9,1.2,3.3,0.37,0.4,1.4,0.256,0.1,0.1,0.5,0.3,1.0,1.3,2.1,0.6,0.0,0.7,1.5
